"subject_uri","target","field","birthYear"
"http://dbpedia.org/resource/Michael_Rostovtzeff","http://dbpedia.org/resource/Archaeology","Archaeology",
"http://dbpedia.org/resource/Michael_Rostovtzeff","http://dbpedia.org/resource/Ancient_History","Ancient History",
"http://dbpedia.org/resource/Mary_Beaudry","http://dbpedia.org/resource/Historical_archaeology","Historical archaeology",
"http://dbpedia.org/resource/Ahmad_Hasan_Dani","http://dbpedia.org/resource/History","History",
"http://dbpedia.org/resource/Michael_Rostovtzeff","http://dbpedia.org/resource/History","History",
"http://dbpedia.org/resource/Alireza_Shapour_Shahbazi","http://dbpedia.org/resource/School_of_Oriental_and_African_Studies","School of Oriental and African Studies",
"http://dbpedia.org/resource/Donald_Johanson","http://dbpedia.org/resource/Paleoanthropology","Paleoanthropology",
"http://dbpedia.org/resource/John_Howland_Rowe","http://dbpedia.org/resource/Anthropologist","Anthropologist",
"http://dbpedia.org/resource/Carmel_Schrire","http://dbpedia.org/resource/Anthropology","Anthropology",
"http://dbpedia.org/resource/John_Wymer","http://dbpedia.org/resource/Archaeologist","Archaeologist",
"http://dbpedia.org/resource/O._G._S._Crawford","http://dbpedia.org/resource/Archaeologist","Archaeologist",
"http://dbpedia.org/resource/Leonard_Woolley","http://dbpedia.org/resource/Archaeology","Archaeology",
"http://dbpedia.org/resource/Alfred_V._Kidder","http://dbpedia.org/resource/Archaeology","Archaeology",
"http://dbpedia.org/resource/Ehud_Netzer","http://dbpedia.org/resource/Archaeology","Archaeology",
"http://dbpedia.org/resource/Emil_Haury","http://dbpedia.org/resource/Archaeology","Archaeology",
"http://dbpedia.org/resource/Avraham_Biran","http://dbpedia.org/resource/Archaeology","Archaeology",
"http://dbpedia.org/resource/Charles_Thomas_Newton","http://dbpedia.org/resource/Archaeology","Archaeology",
"http://dbpedia.org/resource/John_Wesley_Gilbert","http://dbpedia.org/resource/Professor","Professor",
"http://dbpedia.org/resource/Grafton_Elliot_Smith","http://dbpedia.org/resource/Anatomy","Anatomy",
"http://dbpedia.org/resource/Louis_Leakey","http://dbpedia.org/resource/Paleontology","Paleontology",
"http://dbpedia.org/resource/David_L._Kennedy","http://dbpedia.org/resource/History","History",
"http://dbpedia.org/resource/Dumitru_Berciu","http://dbpedia.org/resource/History","History",
"http://dbpedia.org/resource/Neil_Oliver","http://dbpedia.org/resource/Television_presenter","Television presenter",
"http://dbpedia.org/resource/Kazimierz_Michałowski","http://dbpedia.org/resource/Art_history","Art history",
"http://dbpedia.org/resource/Therkel_Mathiassen","http://dbpedia.org/resource/Cartography","Cartography",
"http://dbpedia.org/resource/Gaston_Maspero","http://dbpedia.org/resource/Egyptology","Egyptology",
"http://dbpedia.org/resource/Philippe-Charles_Schmerling","http://dbpedia.org/resource/Geology","Geology",
"http://dbpedia.org/resource/Lewis_Binford","http://dbpedia.org/resource/Anthropology","Anthropology",
"http://dbpedia.org/resource/William_W._Fitzhugh","http://dbpedia.org/resource/Anthropology","Anthropology",
"http://dbpedia.org/resource/Zdenko_Vinski","http://dbpedia.org/resource/Archaeologist","Archaeologist",
