,occupation,effectif
0,Archaeology,103
1,Archaeologist,57
2,Anthropology,16
3,History,14
4,Historian,7
5,Anthropologist,5
6,Egyptology,4
7,Egyptologist,4
8,Paleoanthropology,4
9,Ethnography,3
10,Ethnology,3
11,Paleontology,3
12,Art history,3
13,Geology,3
14,School of Oriental and African Studies,2
15,Politician,2
16,Essayist,2
17,Underwater archaeology,2
18,Anatomy,2
19,Cartography,2
20,Television presenter,2
21,Folkloristics,2
22,Professor,2
23,Archaeobotany,2
24,Actor,2
25,Priest,2
26,Epigraphy,2
27,Historical archaeology,2
28,Oriental studies,1
29,Palaeography,1
30,Numismatics,1
31,National Institute of Advanced Studies,1
32,Music archaeology,1
33,Paleoanthropologist,1
34,Physical anthropology,1
35,Palestine Expeditionary Fund,1
36,Prehistory,1
37,University of Wisconsin-Madison,1
38,The Scout Association,1
39,Sumerologist,1
40,Semitic scholar,1
41,Rescue archaeology,1
42,Publicist,1
43,Prehistoric archaeology,1
44,Papyrologist,1
45,Prehistorian,1
46,Political officer (British Empire),1
47,Playwright,1
48,Military intelligence,1
49,Philology,1
50,Papyrology,1
51,Museologist,1
52,Academic,1
53,Material culture,1
54,Linguistics,1
55,American School of Classical Studies in Athens,1
56,Anatomist,1
57,Ancient History,1
58,Antiquarian,1
59,Archaeological Survey of India,1
60,Archaeology of Anglo-Saxon England,1
61,Archaeology of Ireland,1
62,Archeologist,1
63,Archeology,1
64,Architect,1
65,Architecture,1
66,Arctic,1
67,Art Historian,1
68,Art historian,1
69,Assyriologist,1
70,Assyriology,1
71,Bangalore,1
72,Biblical archaeologist,1
73,Classical archaeology,1
74,Community development,1
75,Curator,1
76,Egyptian hieroglyphs,1
77,Exploration,1
78,Film director,1
79,Geologist,1
80,Göttingen State and University Library,1
81,History of Iran,1
82,Human evolution,1
83,Lecturer,1
84,University president,1
