"subject_uri","subjectBirthDate","r_property","target"
"http://dbpedia.org/resource/Johann_Joachim_Winckelmann",1717-12-09,"almaMater","http://dbpedia.org/resource/University_of_Halle"
"http://dbpedia.org/resource/Christian_Gottlob_Heyne",1729-09-25,"almaMater","http://dbpedia.org/resource/Leipzig_University"
"http://dbpedia.org/resource/Thomas_Jefferson",1743-04-13,"almaMater","http://dbpedia.org/resource/College_of_William_&_Mary"
"http://dbpedia.org/resource/Jean-François_Champollion",1790-12-23,"almaMater","http://dbpedia.org/resource/Collège_de_France"
"http://dbpedia.org/resource/Jean-François_Champollion",1790-12-23,"almaMater","http://dbpedia.org/resource/Institut_national_des_langues_et_civilisations_orientales"
"http://dbpedia.org/resource/William_Robertson_Smith",1846-11-08,"almaMater","http://dbpedia.org/resource/New_College,_Edinburgh"
"http://dbpedia.org/resource/Arthur_Evans",1851-07-08,"almaMater","http://dbpedia.org/resource/University_of_Oxford"
"http://dbpedia.org/resource/Francis_Kelsey",1858-05-23,"almaMater","http://dbpedia.org/resource/University_of_Rochester"
"http://dbpedia.org/resource/Gustaf_Kossinna",1858-09-28,"institution","http://dbpedia.org/resource/Humboldt_University_of_Berlin"
"http://dbpedia.org/resource/Giacomo_Boni_(archaeologist)",1859-04-25,"almaMater","http://dbpedia.org/resource/Accademia_di_Belle_Arti_di_Venezia"
"http://dbpedia.org/resource/Victor_Loret",1859-09-01,"almaMater","http://dbpedia.org/resource/École_des_Hautes_Études"
"http://dbpedia.org/resource/Margaret_Murray",1863-07-13,"almaMater","http://dbpedia.org/resource/University_College_London"
"http://dbpedia.org/resource/Katherine_Routledge",1866-08-11,"almaMater","http://dbpedia.org/resource/Somerville_College,_Oxford"
"http://dbpedia.org/resource/Campbell_Cowan_Edgar",1870-12-26,"almaMater","http://dbpedia.org/resource/Oriel_College,_Oxford"
"http://dbpedia.org/resource/Campbell_Cowan_Edgar",1870-12-26,"almaMater","http://dbpedia.org/resource/Glasgow_University"
"http://dbpedia.org/resource/Campbell_Cowan_Edgar",1870-12-26,"institution","http://dbpedia.org/resource/Egyptian_Museum"
"http://dbpedia.org/resource/Grafton_Elliot_Smith",1871-08-15,"almaMater","http://dbpedia.org/resource/University_of_Cambridge"
"http://dbpedia.org/resource/Grafton_Elliot_Smith",1871-08-15,"almaMater","http://dbpedia.org/resource/University_of_Sydney"
"http://dbpedia.org/resource/Johan_Gunnar_Andersson",1874-07-03,"almaMater","http://dbpedia.org/resource/Uppsala_University"
"http://dbpedia.org/resource/John_Garstang",1876-05-05,"almaMater","http://dbpedia.org/resource/Jesus_College,_Oxford"
"http://dbpedia.org/resource/John_Marshall_(archaeologist)",1876-03-19,"almaMater","http://dbpedia.org/resource/King's_College,_Cambridge"
"http://dbpedia.org/resource/Cyril_Fox",1882-12-16,"institution","http://dbpedia.org/resource/Amgueddfa_Cymru_-_National_Museum_Wales"
