"s","birthDate"
"http://dbpedia.org/resource/Athanasius_Kircher",1602-05-02
"http://dbpedia.org/resource/Antoine_Galland",1646-04-04
"http://dbpedia.org/resource/Johann_Joachim_Winckelmann",1717-12-09
"http://dbpedia.org/resource/Christian_Gottlob_Heyne",1729-09-25
"http://dbpedia.org/resource/Thomas_Jefferson",1743-04-13
"http://dbpedia.org/resource/William_Gell",1777-03-31
"http://dbpedia.org/resource/Johann_Michael_Ackner",1782-01-25
"http://dbpedia.org/resource/Friedrich_Gottlieb_Welcker",1784-11-04
"http://dbpedia.org/resource/Jacques_Boucher_de_Crèvecœur_de_Perthes",1788-09-10
"http://dbpedia.org/resource/Christian_Jürgensen_Thomsen",1788-12-29
"http://dbpedia.org/resource/Jean-François_Champollion",1790-12-23
"http://dbpedia.org/resource/Philippe-Charles_Schmerling",1791-03-02
"http://dbpedia.org/resource/John_MacEnery",1797-11-27
"http://dbpedia.org/resource/Charles_Fellows",1799-08-31
"http://dbpedia.org/resource/Prosper_Mérimée",1803-09-28
"http://dbpedia.org/resource/Joseph_George_Cumming",1812-02-15
"http://dbpedia.org/resource/Alexander_Cunningham",1814-01-23
"http://dbpedia.org/resource/Andrew_Ramsay_(geologist)",1814-01-31
"http://dbpedia.org/resource/Ernst_Curtius",1814-09-02
"http://dbpedia.org/resource/Charles_Thomas_Newton",1816-09-16
"http://dbpedia.org/resource/Austen_Henry_Layard",1817-03-05
"http://dbpedia.org/resource/Jens_Jacob_Asmussen_Worsaae",1821-03-14
"http://dbpedia.org/resource/Thomas_Bateman",1821-11-08
"http://dbpedia.org/resource/Heinrich_Schliemann",1822-01-06
"http://dbpedia.org/resource/John_Evans_(archaeologist)",1823-11-17
"http://dbpedia.org/resource/Augustus_Le_Plongeon",1825-05-04
"http://dbpedia.org/resource/Augustus_Pitt_Rivers",1827-04-14
"http://dbpedia.org/resource/Amelia_Edwards",1831-06-07
"http://dbpedia.org/resource/Alexandru_Odobescu",1834-01-23
"http://dbpedia.org/resource/John_Lubbock,_1st_Baron_Avebury",1834-04-30
"http://dbpedia.org/resource/William_Thompson_Watkin",1836-10-15
"http://dbpedia.org/resource/François_Lenormant",1837-01-17
"http://dbpedia.org/resource/William_Boyd_Dawkins",1837-12-26
"http://dbpedia.org/resource/Adolph_Francis_Alphonse_Bandelier",1840-08-06
"http://dbpedia.org/resource/Clarence_Bicknell",1842-08-27
"http://dbpedia.org/resource/Osman_Hamdi_Bey",1842-12-30
"http://dbpedia.org/resource/Oscar_Montelius",1843-09-09
"http://dbpedia.org/resource/Gaston_Maspero",1846-06-23
"http://dbpedia.org/resource/William_Robertson_Smith",1846-11-08
"http://dbpedia.org/resource/Percy_Gardner",1846-11-24
"http://dbpedia.org/resource/Grigore_Tocilescu",1850-10-26
"http://dbpedia.org/resource/Arthur_Evans",1851-07-08
"http://dbpedia.org/resource/Clarence_Bloomfield_Moore",1852-01-14
"http://dbpedia.org/resource/James_Theodore_Bent",1852-03-30
"http://dbpedia.org/resource/Wilhelm_Dörpfeld",1853-12-26
