"p1","eff"
"http://dbpedia.org/ontology/wikiPageWikiLink",30368
"http://www.w3.org/1999/02/22-rdf-syntax-ns#type",18405
"http://www.w3.org/2002/07/owl#sameAs",8519
"http://purl.org/dc/terms/subject",6637
"http://dbpedia.org/property/wikiPageUsesTemplate",5471
"http://www.w3.org/2000/01/rdf-schema#label",2979
"http://dbpedia.org/ontology/abstract",2950
"http://www.w3.org/2000/01/rdf-schema#comment",2946
"http://dbpedia.org/ontology/wikiPageExternalLink",2509
"http://xmlns.com/foaf/0.1/depiction",755
"http://dbpedia.org/ontology/wikiPageLength",644
"http://dbpedia.org/ontology/wikiPageID",644
"http://dbpedia.org/ontology/wikiPageRevisionID",644
"http://xmlns.com/foaf/0.1/isPrimaryTopicOf",644
"http://www.w3.org/ns/prov#wasDerivedFrom",644
"http://purl.org/linguistics/gold/hypernym",506
"http://schema.org/sameAs",495
"http://dbpedia.org/property/birthPlace",436
"http://dbpedia.org/property/name",407
"http://dbpedia.org/ontology/birthPlace",391
"http://xmlns.com/foaf/0.1/name",390
"http://dbpedia.org/property/birthDate",325
"http://dbpedia.org/ontology/thumbnail",313
"http://dbpedia.org/property/workplaces",313
"http://dbpedia.org/ontology/birthDate",295
"http://dbpedia.org/property/almaMater",286
"http://dbpedia.org/property/deathPlace",249
"http://dbpedia.org/property/deathDate",241
"http://dbpedia.org/ontology/occupation",236
"http://dbpedia.org/ontology/deathPlace",226
"http://dbpedia.org/property/nationality",208
"http://dbpedia.org/property/occupation",204
"http://dbpedia.org/ontology/almaMater",193
"http://dbpedia.org/ontology/academicDiscipline",187
"http://dbpedia.org/ontology/deathDate",180
"http://dbpedia.org/property/knownFor",166
"http://dbpedia.org/property/subDiscipline",157
"http://dbpedia.org/property/education",156
"http://dbpedia.org/property/spouse",150
"http://dbpedia.org/property/caption",142
"http://dbpedia.org/ontology/knownFor",133
"http://dbpedia.org/ontology/birthYear",119
"http://dbpedia.org/property/2p",117
"http://dbpedia.org/property/discipline",111
"http://dbpedia.org/property/fields",103
"http://dbpedia.org/property/field",94
"http://dbpedia.org/property/1p",92
"http://dbpedia.org/property/awards",92
"http://dbpedia.org/ontology/nationality",90
"http://dbpedia.org/property/birthName",88
"http://dbpedia.org/ontology/institution",88
"http://dbpedia.org/property/title",85
"http://dbpedia.org/ontology/deathYear",85
"http://dbpedia.org/ontology/award",84
"http://dbpedia.org/ontology/birthName",67
"http://dbpedia.org/property/2pp",64
"http://dbpedia.org/property/workInstitutions",57
"http://dbpedia.org/property/years",54
"http://dbpedia.org/property/wordnet_type",54
"http://dbpedia.org/property/date",53
